Theme,Keyword,State,Value
Need help,what is homelessness,Idaho,1.0
Need help,what is homelessness,Illinois,1.0
Need help,what is homelessness,Indiana,1.0
Need help,what is homelessness,Iowa,1.0
Need help,what is homelessness,Kansas,1.0
Need help,what is homelessness,Kentucky,1.0
Need help,what is homelessness,Louisiana,1.0
Need help,what is homelessness,Maine,1.0
Need help,what is homelessness,Maryland,1.0
Need help,what is homelessness,Massachusetts,1.0
Need help,what is homelessness,Michigan,1.0
Need help,what is homelessness,Minnesota,1.0
Need help,what is homelessness,Mississippi,1.0
Need help,what is homelessness,Missouri,1.0
Need help,what is homelessness,Montana,1.0
Need help,what is homelessness,Nebraska,1.0
Need help,what is homelessness,Nevada,1.0
Need help,what is homelessness,New Hampshire,1.0
Need help,what is homelessness,New Jersey,1.0
Need help,what is homelessness,New Mexico,1.0
Need help,what is homelessness,New York,1.0
Need help,what is homelessness,North Carolina,1.0
Need help,what is homelessness,North Dakota,0.0
Need help,what is homelessness,Ohio,1.0
Need help,what is homelessness,Oklahoma,1.0
Need help,what is homelessness,Oregon,1.0
Need help,what is homelessness,Pennsylvania,1.0
Need help,what is homelessness,Rhode Island,1.0
Need help,what is homelessness,South Carolina,1.0
Need help,what is homelessness,South Dakota,1.0
Need help,what is homelessness,Tennessee,1.0
Need help,what is homelessness,Texas,1.0
Need help,what is homelessness,Utah,1.0
Need help,what is homelessness,Vermont,1.0
Need help,what is homelessness,Virginia,1.0
Need help,what is homelessness,Washington,1.0
Need help,what is homelessness,West Virginia,1.0
Need help,what is homelessness,Wisconsin,1.0
Need help,what is homelessness,Wyoming,0.0
